,Population,Median Household Income,State
0,20612439,50860,Florida
1,10310371,53559,Georgia
2,1428557,74511,Hawaii
3,1683140,51807,Idaho
4,12801539,60960,Illinois
5,6633053,52314,Indiana
6,3134693,56247,Iowa
7,2907289,54935,Kansas
8,4436974,46659,Kentucky
9,4681666,45146,Louisiana
10,1331479,53079,Maine
11,6016447,78945,Maryland
12,6811779,75297,Massachusetts
13,9928300,52492,Michigan
14,5519952,65599,Minnesota
15,2988726,41754,Mississippi
16,6093000,51746,Missouri
17,1042520,50027,Montana
18,1907116,56927,Nebraska
19,2940058,55180,Nevada
20,1334795,70936,New Hampshire
21,8944469,76126,New Jersey
22,2081015,46748,New Mexico
23,19745289,62909,New York
24,10146788,50584,North Carolina
25,757953,60656,North Dakota
26,11614373,52334,Ohio
27,3923561,49176,Oklahoma
28,4093465,57532,Oregon
29,12784227,56907,Pennsylvania
30,1056426,60596,Rhode Island
31,4961119,49501,South Carolina
32,865454,54467,South Dakota
33,6651194,48547,Tennessee
34,27862596,56565,Texas
35,3051217,65977,Utah
36,624594,57677,Vermont
37,8411808,68114,Virginia
38,7288000,67106,Washington
39,1831102,43385,West Virginia
40,5778709,56811,Wisconsin
41,585501,59882,Wyoming
43,4863300,46257,Alabama
44,741894,76440,Alaska
45,6931071,53558,Arizona
46,2988248,44334,Arkansas
47,39250017,67739,California
48,5540545,65685,Colorado
49,3576452,73433,Connecticut
50,952065,61757,Delaware
51,681170,75506,District of Columbia
