,Population,Household Income,State
0,20612439.0,50860.0,Florida
1,10310371.0,53559.0,Georgia
2,1428557.0,74511.0,Hawaii
3,1683140.0,51807.0,Idaho
4,12801539.0,60960.0,Illinois
5,6633053.0,52314.0,Indiana
6,3134693.0,56247.0,Iowa
7,2907289.0,54935.0,Kansas
8,4436974.0,46659.0,Kentucky
9,4681666.0,45146.0,Louisiana
10,1331479.0,53079.0,Maine
11,6016447.0,78945.0,Maryland
12,6811779.0,75297.0,Massachusetts
13,9928300.0,52492.0,Michigan
14,5519952.0,65599.0,Minnesota
15,2988726.0,41754.0,Mississippi
16,6093000.0,51746.0,Missouri
17,1042520.0,50027.0,Montana
18,1907116.0,56927.0,Nebraska
19,2940058.0,55180.0,Nevada
20,1334795.0,70936.0,New Hampshire
21,8944469.0,76126.0,New Jersey
22,2081015.0,46748.0,New Mexico
23,19745289.0,62909.0,New York
24,10146788.0,50584.0,North Carolina
25,757953.0,60656.0,North Dakota
26,11614373.0,52334.0,Ohio
27,3923561.0,49176.0,Oklahoma
28,4093465.0,57532.0,Oregon
29,12784227.0,56907.0,Pennsylvania
30,1056426.0,60596.0,Rhode Island
31,4961119.0,49501.0,South Carolina
32,865454.0,54467.0,South Dakota
33,6651194.0,48547.0,Tennessee
34,27862596.0,56565.0,Texas
35,3051217.0,65977.0,Utah
36,624594.0,57677.0,Vermont
37,8411808.0,68114.0,Virginia
38,7288000.0,67106.0,Washington
39,1831102.0,43385.0,West Virginia
40,5778709.0,56811.0,Wisconsin
41,585501.0,59882.0,Wyoming
42,3411307.0,20078.0,Puerto Rico
43,4863300.0,46257.0,Alabama
44,741894.0,76440.0,Alaska
45,6931071.0,53558.0,Arizona
46,2988248.0,44334.0,Arkansas
47,39250017.0,67739.0,California
48,5540545.0,65685.0,Colorado
49,3576452.0,73433.0,Connecticut
50,952065.0,61757.0,Delaware
51,681170.0,75506.0,District of Columbia
